,Sr.No.,Merit No,Marks,Application ID,Name of Candidate,Gender,Category,PWD/DEF,Sub Group,Seat Type,cource_code,college_code
0,1,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
1,2,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
2,3,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
3,4,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
4,5,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
5,6,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
6,7,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
7,8,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
8,9,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
9,10,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
10,11,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
11,12,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
12,13,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
13,14,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
14,15,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
15,16,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
16,17,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
17,18,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
18,19,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
19,20,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
20,21,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
21,22,-,-,-,Vacant,-,-,,-,GOPEN,302,5105
22,23,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
23,24,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
24,25,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
25,26,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
26,27,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
27,28,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
28,29,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
29,30,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
30,31,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
31,32,-,-,-,Vacant,-,-,,-,LOPEN,302,5105
32,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
33,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
34,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
35,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
36,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
37,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
38,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
39,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
40,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
41,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
42,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
43,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
44,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
45,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
46,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
47,-,-,-,Vacant,-,-,,-,GOPEN,,302,5105
